Fernando Alonso,Spanish,392,2001,2024
Kimi Räikkönen,Finnish,352,2001,2021
Lewis Hamilton,British,344,2007,2024
Rubens Barrichello,Brazilian,326,1993,2011
Jenson Button,British,309,2000,2017
Michael Schumacher,German,308,1991,2012
Sebastian Vettel,German,300,2007,2022
Sergio Pérez,Mexican,271,2011,2024
Felipe Massa,Brazilian,271,2002,2017
Riccardo Patrese,Italian,257,1977,1993
Jarno Trulli,Italian,256,1997,2011
Daniel Ricciardo,Australian,251,2011,2024
David Coulthard,British,247,1994,2008
Valtteri Bottas,Finnish,235,2013,2024
Giancarlo Fisichella,Italian,231,1996,2009
Nico Hülkenberg,German,218,2010,2024
Mark Webber,Australian,217,2002,2013
Michele Alboreto,Italian,215,1981,1994
Andrea de Cesaris,Italian,214,1980,1994
Gerhard Berger,Austrian,210,1984,1997
