Lewis Hamilton,508,23.51,90,17.72
Max Verstappen,340,24.174,61,17.94
Sebastian Vettel,444,23.735,43,9.68
Nico Rosberg,244,23.267,23,9.43
Valtteri Bottas,407,24.847,10,2.46
Daniel Ricciardo,437,24.17,8,1.83
Charles Leclerc,212,24.399,6,2.83
Fernando Alonso,433,23.8,6,1.39
Jenson Button,253,23.379,6,2.37
Sergio Pérez,493,24.122,6,1.22
Kimi Räikkönen,340,24.539,3,0.88
Mark Webber,141,22.574,3,2.13
Carlos Sainz,307,24.8,3,0.98
George Russell,201,24.736,2,1
Pierre Gasly,220,24.661,1,0.45
Lando Norris,195,24.978,1,0.51
Esteban Ocon,212,25.229,1,0.47
Pastor Maldonado,193,24.158,1,0.52
Stoffel Vandoorne,66,25.036,0,0
Mick Schumacher,73,26.328,0,0
Marcus Ericsson,172,25.507,0,0
Jules Bianchi,72,25.09,0,0
Lance Stroll,259,24.523,0,0
Felipe Nasr,83,25.64,0,0
Antonio Giovinazzi,99,25.695,0,0
Charles Pic,78,24.749,0,0
Esteban Gutiérrez,128,24.703,0,0
Felipe Massa,308,23.722,0,0
Logan Sargeant,58,25.666,0,0
Paul di Resta,126,23.298,0,0
