Alta altitud (>1000m),3,53,3.3,23.505,1071
Baja altitud (100-500m),29,465,2.71,24.253,8266
Bajo nivel del mar (<100m),35,450,2.54,25.021,7201
Media altitud (500-1000m),10,145,2.52,22.651,2453
