2024,12,21,10,1222,5.11
2023,22,22,10,2242,5.1
2022,22,22,10,2242,5.1
2021,22,21,10,2189.5,4.98
2020,17,23,10,1734,5.1
2019,21,20,10,2140,5.1
2018,21,20,10,2121,5.05
2017,20,25,10,2020,5.05
2016,21,24,11,2121,4.59
2015,19,22,10,1919,5.08
2014,19,24,11,2020,4.96
2013,19,23,11,1919,4.59
2012,20,25,12,2020,4.21
2011,19,28,12,1919,4.21
2010,19,27,12,1919,4.21
2009,17,25,10,643.5,1.89
2008,18,22,11,702,1.91
2007,17,26,11,663,1.77
2006,18,27,12,702,1.77
2005,19,27,10,738,1.96
2004,18,25,10,702,1.95
2003,16,24,10,624,1.95
2002,17,23,11,442,1.22
2001,17,26,11,442,1.18
2000,17,23,11,442,1.18
1999,16,24,11,416,1.18
1998,16,23,11,416,1.19
1997,17,28,12,442,1.18
1996,16,24,11,416,1.22
1995,17,35,13,442,1.06
1994,16,46,14,416,0.94
1993,16,35,13,416,1.01
1992,16,37,16,416,0.87
1991,16,41,19,403,0.75
1990,16,40,19,400,0.74
1989,16,47,20,400,0.65
1988,16,36,18,400,0.81
1987,16,32,16,398,0.95
1986,16,32,14,400,0.97
1985,16,36,17,400,0.99
1984,16,35,15,383.5,0.89
1983,15,35,16,369,0.87
1982,16,40,17,399,0.86
1981,15,39,17,375,0.84
1980,14,41,15,350,0.91
1979,15,36,19,375,0.93
1978,16,46,19,400,0.85
1977,17,61,21,425,0.89
1976,16,54,21,400,0.92
1975,14,52,20,325,0.9
1974,15,62,20,375,0.86
1973,15,43,12,375,1.05
1972,12,42,12,300,0.97
1971,11,50,12,275,1.05
1970,13,43,12,324,1.1
1969,11,31,11,275,1.55
1968,12,43,17,298,1.28
1967,11,45,20,275,1.34
1966,9,33,15,221,1.33
1965,10,54,16,250,1.22
1964,10,41,13,250,1.21
1963,10,62,22,246,0.97
1962,9,61,19,225,1.01
1961,8,62,14,200,0.91
1960,10,91,23,236,1.06
1959,9,88,26,216,1.11
1958,11,87,16,259,1.07
1957,8,76,14,192,1.12
1956,8,85,15,192,1.01
1955,7,84,19,167.99,0.93
1954,9,97,19,215.56,0.94
1953,9,108,21,216,0.88
1952,8,105,25,192,0.89
1951,8,84,24,192,1.07
1950,7,81,24,168,1.05
